miRNA,log2FC,p_value,adj_p,Direction,Significant
hsa-miR-200c-3p,0.3476401659859665,0.5860044902202517,0.7158108625737774,Up_in_LUAD,False
hsa-miR-202-5p,-28.250295152404362,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-203b-3p,-30.95895299258462,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-204-3p,-31.31217689018557,0.34343639613791366,0.5362329327587064,Down_in_LUAD,False
hsa-miR-204-5p,-1.6711574807018135,0.36126232279718495,0.5479240953076542,Down_in_LUAD,False
hsa-miR-205-3p,-33.51957825203703,0.1901382219903249,0.5362329327587064,Down_in_LUAD,False
hsa-miR-205-5p,0.3171213059214004,0.6212211895882302,0.7470624149351361,Up_in_LUAD,False
hsa-miR-206,-0.1005851516190619,0.9474344046729775,0.9739789030797635,Down_in_LUAD,False
hsa-miR-20a-3p,30.646463567468718,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-20a-5p,0.23370558417528997,0.7507299927256832,0.8546496575898589,Up_in_LUAD,False
hsa-miR-20b-3p,-2.9188915859981206,0.2612859210087599,0.5362329327587064,Down_in_LUAD,False
hsa-miR-20b-5p,0.35012627863604795,0.810053166149159,0.897390686567416,Up_in_LUAD,False
hsa-miR-21-3p,-2.105803201235422,0.07672909359543117,0.5362329327587064,Down_in_LUAD,False
hsa-miR-21-5p,0.055611475045663994,0.8898564439409933,0.9380365165963619,Up_in_LUAD,False
hsa-miR-210-3p,0.04877341436175264,0.9626594298359694,0.9811721111789689,Up_in_LUAD,False
hsa-miR-210-5p,4.089316231772707,0.3076393766798334,0.5362329327587064,Up_in_LUAD,False
hsa-miR-211-5p,0.0020785101470064404,0.9986748483185366,0.9998576414756573,Up_in_LUAD,False
hsa-miR-2110,0.34469189707982384,0.7949752866041635,0.8901483842962112,Up_in_LUAD,False
hsa-miR-2115-3p,33.98928830728114,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-2116-3p,-33.52671276133879,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-2117,30.784381417486745,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-212-3p,30.264352559535567,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-212-5p,33.35907656953297,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-215-5p,-0.2280699487925304,0.8521209497267573,0.9165670604964772,Down_in_LUAD,False
hsa-miR-216a-5p,-1.8316545274691824,0.5039124082929998,0.6567383026113686,Down_in_LUAD,False
hsa-miR-218-5p,-30.317409344822725,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-219a-1-3p,-32.02308332964371,0.34343639613791366,0.5362329327587064,Down_in_LUAD,False
hsa-miR-219a-5p,32.288080076215934,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-22-3p,0.40519734058493917,0.38566612868364936,0.5634365271199817,Up_in_LUAD,False
hsa-miR-22-5p,-32.598670521620356,0.23785889315041098,0.5362329327587064,Down_in_LUAD,False
hsa-miR-221-3p,0.33963394379062173,0.6807616662379468,0.7920080848670746,Up_in_LUAD,False
hsa-miR-221-5p,-1.3613145268881945,0.2887660872259701,0.5362329327587064,Down_in_LUAD,False
hsa-miR-222-3p,-0.6449814989634017,0.06825351273475425,0.5362329327587064,Down_in_LUAD,False
hsa-miR-222-5p,-35.00300314092012,0.34343639613791366,0.5362329327587064,Down_in_LUAD,False
hsa-miR-223-3p,0.10351815154408506,0.8993389415747789,0.9444860774425524,Up_in_LUAD,False
hsa-miR-223-5p,-0.2740844114083876,0.851919314110721,0.9165670604964772,Down_in_LUAD,False
hsa-miR-224-5p,0.9203427071357568,0.4138910380225128,0.5823776552706155,Up_in_LUAD,False
hsa-miR-2277-5p,2.7440684592932554,0.41896278639944484,0.5877801444486329,Up_in_LUAD,False
hsa-miR-2355-5p,33.16103673959033,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-23a-3p,0.6408383635584016,0.11562007697121708,0.5362329327587064,Up_in_LUAD,False
hsa-miR-23a-5p,-31.927427869383024,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-23b-3p,0.5633516720695226,0.5700455098709001,0.7064894321903693,Up_in_LUAD,False
hsa-miR-23b-5p,2.828672569965296,0.24480376627581657,0.5362329327587064,Up_in_LUAD,False
hsa-miR-23c,3.0546984325875655,0.2269332628804756,0.5362329327587064,Up_in_LUAD,False
hsa-miR-24-2-5p,1.098879241530244,0.6204318880989161,0.7470624149351361,Up_in_LUAD,False
hsa-miR-24-3p,-0.1805158330103378,0.6423199067323416,0.7612089329473962,Down_in_LUAD,False
hsa-miR-2467-5p,-29.771127312761973,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-25-3p,-0.014435018856985948,0.9788364092627017,0.9879514938201722,Down_in_LUAD,False
hsa-miR-25-5p,-1.9634541012779794,0.2404973292656809,0.5362329327587064,Down_in_LUAD,False
hsa-miR-26a-1-3p,-30.377934480536936,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-26a-5p,-0.18643423887320942,0.7050964435001468,0.8143607834130024,Down_in_LUAD,False
hsa-miR-26b-3p,-0.019433244213910683,0.9863904944190649,0.9925349828707325,Down_in_LUAD,False
hsa-miR-26b-5p,-0.25792245862340124,0.5528784695029649,0.6966225262933253,Down_in_LUAD,False
hsa-miR-27a-3p,1.190918323817293,0.21716353497068466,0.5362329327587064,Up_in_LUAD,False
hsa-miR-27a-5p,0.5333042877790666,0.7306976607003788,0.8388514660748031,Up_in_LUAD,False
hsa-miR-27b-3p,-0.18446395720630093,0.5333210785277336,0.6811088472763827,Down_in_LUAD,False
hsa-miR-27b-5p,1.749537105354955,0.2758551279711716,0.5362329327587064,Up_in_LUAD,False
hsa-miR-28-3p,0.1112992238080075,0.8745471857661798,0.9280511848953676,Up_in_LUAD,False
hsa-miR-28-5p,0.3249877497768088,0.7123190769961175,0.8207154582781354,Up_in_LUAD,False
hsa-miR-296-3p,-3.660821082658539,0.18598202647599885,0.5362329327587064,Down_in_LUAD,False
